,name,epochs,hidden,dropout,cell_type,latentDim,optimiser,batch_size,numDecoders,numEncoders,best_val_loss,_runtime,accuracy,_timestamp,best_epoch,val_loss,val_accuracy,loss,_step,epoch,graph
0,GRUen3_te_1_rmsprop_10_0.1_32_128,10,16,0.1,GRU,128,rmsprop,32,1,3,1.3794782161712646,1891.0,0.9513189792633056,1621795464.0,0.0,1.888416409492493,0.7982348203659058,0.1631171554327011,9.0,9.0,"{'path': 'media/graph/graph_summary_39fe118b.graph.json', 'size': 1463, '_type': 'graph-file', 'sha256': '39fe118b1f3711a82811c917410589a051ac57812303b02bdf4d65d7d9436c84'}"
1,GRUen1_te_3_adam_5_0.2_64_256,5,16,0.2,GRU,256,adam,64,3,1,1.5442540645599363,452.0,0.8970918655395508,1621793549.0,0.0,1.689854383468628,0.7996054887771606,0.3528015911579132,4.0,4.0,"{'path': 'media/graph/graph_summary_426eb7fc.graph.json', 'size': 1312, '_type': 'graph-file', 'sha256': '426eb7fcd3d4118c00d3488ee8c5ae124b69bdd5628ceecddd4661547191dc79'}"
2,LSTMen2_te_3_rmsprop_10_0.1_32_32,10,32,0.1,LSTM,32,rmsprop,32,3,2,1.4648395776748655,1970.0,0.920223593711853,1621793057.0,1.0,1.796016812324524,0.7864267230033875,0.2673374116420746,9.0,9.0,"{'path': 'media/graph/graph_summary_74a074d9.graph.json', 'size': 1940, '_type': 'graph-file', 'sha256': '74a074d964ddbef49ace4439da1a35e1140f14f99d50c55daa7f0fe79d2d84dc'}"
3,RNNen3_te_2_rmsprop_20_0.2_32_256,20,32,0.2,RNN,256,rmsprop,32,2,3,1.1170504093170166,2352.0,0.8914462924003601,1621791070.0,3.0,1.245861530303955,0.8228141069412231,0.3694344460964203,7.0,7.0,"{'path': 'media/graph/graph_summary_a65da943.graph.json', 'size': 1581, '_type': 'graph-file', 'sha256': 'a65da9436d6b6e97018cd135c4eb5d06b2513b4a9898abc7e0db11758e589095'}"
4,RNNen1_te_1_rmsprop_10_0.1_32_256,10,16,0.1,RNN,256,rmsprop,32,1,1,1.1326991319656372,1740.0,0.938216745853424,1621788703.0,1.0,1.232620120048523,0.840188205242157,0.2136531323194504,6.0,6.0,"{'path': 'media/graph/graph_summary_b19d8b47.graph.json', 'size': 1399, '_type': 'graph-file', 'sha256': 'b19d8b471567cc115150b385b104c7be212f0c9dca85df83a97e8e8f51fd5a21'}"
5,RNNen1_te_1_rmsprop_5_0.2_32_32,5,16,0.2,RNN,32,rmsprop,32,1,1,1.11082923412323,1230.0,0.8555927276611328,1621786948.0,3.0,1.509998083114624,0.7496318817138672,0.504075825214386,4.0,4.0,"{'size': 1389, '_type': 'graph-file', 'sha256': '995d5f981b2b9b451874cdaa4c16d94ef857982073994ea8ec7042d79b226009', 'path': 'media/graph/graph_summary_995d5f98.graph.json'}"
6,LSTMen2_te_3_rmsprop_10_0.1_64_64,10,128,0.1,LSTM,64,rmsprop,64,3,2,1.5351985692977903,944.0,0.9348917007446288,1621785685.0,0.0,1.9613966941833496,0.7701177000999451,0.2107095867395401,9.0,9.0,"{'sha256': '6a8ad6a58e39571755013d0a8714f3f2e6e9cb8578baa87739d2b5149538c63a', 'path': 'media/graph/graph_summary_6a8ad6a5.graph.json', 'size': 1947, '_type': 'graph-file'}"
7,RNNen1_te_2_adam_15_0.3_32_32,15,64,0.3,RNN,32,adam,32,2,1,1.1910057067871094,2374.0,0.8517351150512695,1621784729.0,4.0,1.364600419998169,0.7644035220146179,0.5012890696525574,9.0,9.0,"{'_type': 'graph-file', 'sha256': 'f3950df0747837d16d8fa795002ea4f5c717747841688e6501e901604c8bb116', 'path': 'media/graph/graph_summary_f3950df0.graph.json', 'size': 1389}"
8,LSTMen3_te_2_adam_10_0.3_32_64,10,64,0.3,LSTM,64,adam,32,2,3,1.517437219619751,1869.0,0.8706855177879333,1621782321.0,0.0,1.574242115020752,0.7872417569160461,0.4293804168701172,9.0,9.0,"{'path': 'media/graph/graph_summary_cae4aed9.graph.json', 'size': 1901, '_type': 'graph-file', 'sha256': 'cae4aed97b4ba6a674a8b9ab248d0d15957c13c7017ebd826f2a36e7d876b277'}"
9,LSTMen2_te_3_adam_10_0.2_64_64,10,16,0.2,LSTM,64,adam,64,3,2,1.4591505527496338,943.0,0.8874256610870361,1621780415.0,2.0,1.757368087768555,0.7682469487190247,0.38637349009513855,9.0,9.0,"{'path': 'media/graph/graph_summary_de434a5b.graph.json', 'size': 1945, '_type': 'graph-file', 'sha256': 'de434a5b30d1627c51dca0fc49aad132ededc3dea72a54b02937ceaf88059aa2'}"
10,RNNen1_te_2_adam_15_0.3_32_32,15,128,0.3,RNN,32,adam,32,2,1,1.067556858062744,3397.0,0.8604013919830322,1621779461.0,11.0,1.099677562713623,0.819581925868988,0.4659002423286438,14.0,14.0,"{'path': 'media/graph/graph_summary_e5be4533.graph.json', 'size': 1390, '_type': 'graph-file', 'sha256': 'e5be4533838e66b31ac8b96eff7bc2789dba4eb2c3eab25a79c2cee8836061e5'}"
11,RNNen2_te_2_adam_10_0.1_64_64,10,128,0.1,RNN,64,adam,64,2,2,1.2776137590408323,1011.0,0.9376376271247864,1621263494.0,4.0,1.329689383506775,0.8352426886558533,0.20231351256370544,9.0,9.0,"{'_type': 'graph-file', 'sha256': 'b3e1725934f2a22c8306f9c0aa2abc1de1d73ab014a05c7fe5c2f3ed03d05abc', 'path': 'media/graph/graph_summary_b3e17259.graph.json', 'size': 1570}"
12,RNNen1_te_2_adam_15_0.1_64_128,15,128,0.1,RNN,128,adam,64,2,1,1.2641003131866455,1086.0,0.945251166820526,1621262467.0,1.0,1.3399105072021484,0.8447354435920715,0.17598922550678253,11.0,11.0,"{'path': 'media/graph/graph_summary_928d4179.graph.json', 'size': 1400, '_type': 'graph-file', 'sha256': '928d4179adb6782c8fb1e4bce6a01450c5c827f0c5ebb09cd7a2d1a5ad41fd31'}"
13,RNNen2_te_3_adam_15_0.2_64_128,15,128,0.2,RNN,128,adam,64,3,2,1.216274619102478,724.0,0.907824695110321,1621261366.0,0.0,1.339018940925598,0.8224807381629944,0.30143386125564575,6.0,6.0,"{'sha256': '4e638f28cf20fe2b16056a4bd73388a716ca71358852c3c9769929b580d1739e', 'path': 'media/graph/graph_summary_4e638f28.graph.json', 'size': 1581, '_type': 'graph-file'}"
14,RNNen2_te_3_adam_20_0.2_64_128,20,128,0.2,RNN,128,adam,64,3,2,1.0503993034362793,1448.0,0.9259296655654908,1621260627.0,13.0,1.0503993034362793,0.8520703315734863,0.24043679237365723,13.0,13.0,"{'path': 'media/graph/graph_summary_4e638f28.graph.json', 'size': 1581, '_type': 'graph-file', 'sha256': '4e638f28cf20fe2b16056a4bd73388a716ca71358852c3c9769929b580d1739e'}"
15,RNNen1_te_3_adam_10_0.2_64_128,10,128,0.2,RNN,128,adam,64,3,1,1.240533709526062,902.0,0.9130626320838928,1621259167.0,0.0,1.263808012008667,0.8254721164703369,0.28290507197380066,9.0,9.0,"{'path': 'media/graph/graph_summary_c800423e.graph.json', 'size': 1400, '_type': 'graph-file', 'sha256': 'c800423e26b1cba419f43903fb4ac9124abebc87a5f0cac77f4573a130b80890'}"
16,RNNen2_te_3_adam_15_0.1_64_256,15,128,0.1,RNN,256,adam,64,3,2,1.0266587734222412,729.0,0.9488781690597534,1621258250.0,1.0,1.204220414161682,0.8360947370529175,0.16833682358264923,6.0,6.0,"{'size': 1582, '_type': 'graph-file', 'sha256': 'ba5c1ef5435f5d4535424fced18faa9bde74c45242d154fbac6582c2215e33bb', 'path': 'media/graph/graph_summary_ba5c1ef5.graph.json'}"
17,RNNen1_te_2_rmsprop_10_0.1_64_256,10,128,0.1,RNN,256,rmsprop,64,2,1,1.075679063796997,896.0,0.950021743774414,1621257508.0,1.0,1.2779825925827026,0.847902774810791,0.16385912895202637,9.0,9.0,"{'_type': 'graph-file', 'sha256': 'd8a4ad2fa117fc9a67dcc7bf20166e81bd462126ac092757f77329d6a452ca3f', 'path': 'media/graph/graph_summary_d8a4ad2f.graph.json', 'size': 1401}"
18,RNNen2_te_3_adam_15_0.1_64_128,15,128,0.1,RNN,128,adam,64,3,2,1.2056002616882324,1106.0,0.9469730854034424,1621256595.0,0.0,1.2743608951568604,0.8362892270088196,0.17019586265087128,10.0,10.0,"{'path': 'media/graph/graph_summary_4e638f28.graph.json', 'size': 1581, '_type': 'graph-file', 'sha256': '4e638f28cf20fe2b16056a4bd73388a716ca71358852c3c9769929b580d1739e'}"
19,RNNen2_te_3_rmsprop_5_0.1_64_64,5,128,0.1,RNN,64,rmsprop,64,3,2,1.2697969675064087,507.0,0.91863751411438,1621255475.0,0.0,1.3967162370681765,0.814905047416687,0.2710452079772949,4.0,4.0,"{'size': 1570, '_type': 'graph-file', 'sha256': 'e323b55dbebd87a5ef938cfbcf86275f31511ee091c016a6ca69df7152203255', 'path': 'media/graph/graph_summary_e323b55d.graph.json'}"
20,RNNen1_te_3_adam_15_0.2_64_256,15,128,0.2,RNN,256,adam,64,3,1,1.1173707246780396,622.0,0.9135789275169371,1621254952.0,3.0,1.243847370147705,0.8278244733810425,0.28191059827804565,6.0,6.0,"{'path': 'media/graph/graph_summary_c242a137.graph.json', 'size': 1401, '_type': 'graph-file', 'sha256': 'c242a137db4c16db96e0923fc8fc73a0e9048806cfcffb2521f329842c6967b3'}"
21,RNNen2_te_3_adam_10_0.2_64_128,10,128,0.2,RNN,128,adam,64,3,2,1.204580783843994,978.0,0.9120285511016846,1621254315.0,8.0,1.2847312688827517,0.8269261121749878,0.28579920530319214,9.0,9.0,"{'sha256': '4e638f28cf20fe2b16056a4bd73388a716ca71358852c3c9769929b580d1739e', 'path': 'media/graph/graph_summary_4e638f28.graph.json', 'size': 1581, '_type': 'graph-file'}"
22,RNNen2_te_2_adam_15_0.1_64_64,15,128,0.1,RNN,64,adam,64,2,2,1.2510379552841189,997.0,0.9338149428367616,1621253322.0,4.0,1.3439818620681765,0.825203537940979,0.21629172563552856,9.0,9.0,"{'sha256': 'b3e1725934f2a22c8306f9c0aa2abc1de1d73ab014a05c7fe5c2f3ed03d05abc', 'path': 'media/graph/graph_summary_b3e17259.graph.json', 'size': 1570, '_type': 'graph-file'}"
